"","model","gridID","n_points","cv_Psal_MAE","cv_Psal_MSE","cv_Psal_CRPS","cv_Psal_SCRPS","cv_Temp_MAE","cv_Temp_MSE","cv_Temp_CRPS","cv_Temp_SCRPS","cv_Psal_MAE_sd","cv_Psal_MSE_sd","cv_Psal_CRPS_sd","cv_Psal_SCRPS_sd","cv_Temp_MAE_sd","cv_Temp_MSE_sd","cv_Temp_CRPS_sd","cv_Temp_SCRPS_sd"
"313","nig_indep",144,515,0.059675939276651,0.00743703357894244,0.0449201511632573,-0.159930301616002,0.308976740164633,0.188629428915402,0.230317656080208,0.664640246902967,0.00164632916255562,0.00027511651156047,0.00141536212411458,0.0261926962433866,0.008023142576934,0.00697883031266998,0.0071535763880125,0.0266907577872473
"314","nig_indep",145,548,0.0770727634305808,0.0130142945441881,0.0579313968870584,0.00015106683045157,0.378908978514589,0.304756488092137,0.282444151228206,0.78394755251603,0.00162561729788423,0.00034551445991514,0.00182012485286862,0.0295181615201866,0.00776107946364975,0.00819508762721861,0.00875045015789231,0.0296017920604731
"315","nig_indep",146,370,0.063280075791064,0.00773199686357519,0.0471339257315537,-0.161562075797266,0.319463146647794,0.18858457775034,0.23394392621962,0.648976928656372,0.00110798769837698,0.0001895420909474,0.00123426419810843,0.0241620323150011,0.00546765010351119,0.00449494041927203,0.00622345979474575,0.0232554251834639
"316","nig_indep",152,177,0.115357394406122,0.0236538535285521,0.0838289837210561,0.126678755537694,0.414506299824471,0.304341668954398,0.294097825951651,0.72784487708996,0.00157683486629868,0.00037044186302182,0.0019804020873223,0.0171265582730664,0.00723563984422477,0.00698279415716817,0.00742893043884485,0.014342339521905
"317","nig_indep",153,487,0.0838029464847987,0.0213981948396499,0.0635909176940165,-0.0554159309974369,0.378838922087315,0.340181665104334,0.281066748150821,0.701191750569846,0.00234716893333328,0.00064173930341728,0.0028137420208167,0.0249204144774218,0.00882494725411479,0.0097510823456284,0.0106932909727188,0.0217487464096563
"318","nig_indep",154,615,0.0344483613795723,0.00276560622183704,0.0266828759998733,-0.450183809238005,0.201200412810338,0.0747289345358993,0.142810405925057,0.366665344654515,0.00094522526753848,9.86246901035733e-05,0.00110312345937,0.0136093173426433,0.00428337059723997,0.00212291802715109,0.00506370570777284,0.0149371346081412
"319","nig_indep",155,141,0.0179889918882803,0.00066452919864602,0.0142984258817485,-0.749291889745142,0.213175055908959,0.0774558686304388,0.15486388907919,0.427131513855853,0.00052273238921886,2.18310125722489e-05,0.00055783719078145,0.0142878758469855,0.00321056744029436,0.00128613261212621,0.00382992712671515,0.014211160176242
"320","nig_indep",156,919,0.00662951482244991,9.28627198633447e-05,0.0049514280444199,-1.31333197134379,0.161060922027149,0.0459724294155449,0.115135001506111,0.259153907160102,0.00010950810758202,1.55333280980801e-06,0.00012442976951074,0.0124895420939095,0.00216112379396012,0.00075311172814578,0.00273231543288534,0.0122247695581358
"321","nig_indep",159,199,0.00575541716014011,5.36280288125588e-05,0.00620541049609819,-1.09295700208587,0.193132805929323,0.060526664135161,0.141126555906153,0.430979479115951,0.000231217145272,2.67266585499716e-06,0.00024711071006174,0.00892555814665827,0.00379498607670552,0.00134736296205313,0.00441496662371288,0.00855958275678278
"322","nig_indep",160,563,0.0386596522516435,0.00294864212386151,0.028042753083234,-0.462325857170948,0.483986272645369,0.390329638481549,0.337401854416095,0.793391654677869,0.00071865673772057,6.85504252763756e-05,0.00077857303073974,0.0152564101520143,0.00810976550156063,0.00949231568163422,0.00899798710506697,0.0135695067451402
"323","nig_indep",161,444,0.0283352350568079,0.00148465124679263,0.0208975781414929,-0.579966251797138,0.407043519980667,0.317702398676127,0.298683008577071,0.731812828664101,0.00064701977067916,4.18072198883352e-05,0.00070273480387087,0.0135132270146573,0.00686924584644807,0.00672521750815835,0.00740244655219984,0.0125597770342591
"324","nig_indep",162,314,0.0357231046492642,0.00235640172119426,0.0259853752017889,-0.478572636752932,0.416335915203767,0.348809792483095,0.312584435155027,0.768329202852844,0.00056557067864778,4.82145633626994e-05,0.00063892990172906,0.0131107598902827,0.00599999845979642,0.00540747755799,0.00687260764399856,0.0133763901420228
"325","nig_indep",163,295,0.0283288920452257,0.00157381405855679,0.0208081239022448,-0.589507520422884,0.310601541573176,0.178272177897449,0.229971259034029,0.613398271325037,0.00062082195107339,3.8477387491815e-05,0.00061008662936229,0.0127359399627322,0.00599545630460876,0.00382139219717977,0.00661427597417337,0.0134610052672857
"326","nig_indep",164,321,0.0276151818424106,0.00161601367838278,0.0213399574930723,-0.577227434184265,0.255952921193187,0.124716411723722,0.191315486507303,0.529033979568075,0.00057993111727145,3.66380867607854e-05,0.00064951364062716,0.0144574362713253,0.0054198386465427,0.00293286687278086,0.0062114659421399,0.0137594405866098
"327","nig_indep",165,437,0.0263646408568178,0.00170584471344911,0.0207742613001013,-0.600958673479157,0.2127681708554,0.0988400030623053,0.16191515143586,0.444667075637024,0.00062190335475777,4.35021590978843e-05,0.00062134857874148,0.0163302513061783,0.00511980951747158,0.00256512385837483,0.0053363197684659,0.0126887633165793
"328","nig_indep",166,391,0.0255094512683601,0.0016016943960668,0.0200363643145308,-0.640678792363946,0.200753741329612,0.0759025878061379,0.151662553038976,0.421735801566728,0.00067172728245237,4.93817965798875e-05,0.00067034014153376,0.0180066187298423,0.0057894454826113,0.00249072340076673,0.00562365322579808,0.0131320048830899
"329","nig_indep",167,331,0.0229443469474133,0.00151857338740379,0.0188389160176346,-0.671016494589532,0.180921094706353,0.0596105425387453,0.139602527467426,0.394961589471708,0.00094147397558337,6.64909789607603e-05,0.00080608705776564,0.0202056256523591,0.00654894048715804,0.00279735691541642,0.00574612230809947,0.0131091210338488
"330","nig_indep",168,370,0.0194829914383928,0.00132184402666761,0.0161339098314647,-0.718108639544322,0.179803604414741,0.067764301442315,0.139910020240219,0.381689072163587,0.00081305785405313,6.82911655984401e-05,0.00082322707041855,0.0218107867195845,0.00529485150535339,0.00257139189723004,0.00516359675021174,0.0131989544700713
"331","nig_indep",169,262,0.0137116335958052,0.00055534976637187,0.0119462706680203,-0.858994656392579,0.151202817716861,0.0480407388283968,0.1181814728168,0.290606860721432,0.00070792376425757,2.83322105635208e-05,0.00070248561778997,0.0179465954346543,0.00487668216073497,0.00167132559315502,0.00466948755500957,0.0136654663264979
