"","model","gridID","n_points","refit","Mu1","Mu2","Sigma1","Sigma2","Nu1","Nu2","Theta","Rho","Kappa1","Kappa2","sigma_e1","sigma_e2","rho_e","Time","TimeCV","cv_status","RB","n","conv"
"1","nig_cor",100,429,FALSE,0.0475977490744774,0.428233842298987,0.0587282454976984,0.644914140097587,0.670068009034591,0.715534821849093,0,2.80188229284087,0.747712948292233,0.849255676071977,0.0295675196421697,0.328261781498567,0.916867447627872,3.0036826917198,58.77,"CV_done",TRUE,1271,FALSE
"2","nig_cor",101,432,FALSE,0.0429397998331291,0.175049989462415,0.0531565230478326,0.568783039117825,0.635992297915515,0.847092897436666,0,1.62063108821268,1.27492491271093,1.59605316844518,0.0293945942603722,0.322207600723283,0.843644896797455,2.37093483646435,58.77,"CV_done",TRUE,1282,TRUE
"3","nig_cor",102,457,FALSE,0.0693137279275773,0.228814062600044,0.0497612678273151,0.537331088248441,0.504690857670906,0.635487251613365,0,1.16918728558328,1.56115355989852,1.60941282632486,0.0292298033015238,0.292205092444147,0.673165689485769,2.99235884534816,58.77,"CV_done",TRUE,1276,TRUE
"4","nig_cor",103,426,FALSE,0.0761059355876168,0.0888653899395256,0.0482025377956833,0.451528639901784,0.244659606643355,0.838136620064636,0,0.502536760043852,1.72857372164235,1.35424932329568,0.0247328730820985,0.211927756723305,0.400794771468707,3.01264259636402,58.77,"CV_done",TRUE,1279,FALSE
"5","nig_cor",104,562,FALSE,0.198379065263793,0.0501374769519099,0.0633109787370694,0.512666946833451,0.441092747247209,0.68745026701776,0,0.684939225069777,1.6955428060487,2.49532581816436,0.030073011352647,0.196836819825,0.579798351628124,2.85425976399746,58.77,"CV_done",TRUE,1275,TRUE
"6","nig_cor",105,237,FALSE,0.0278121415503386,0.234936105616489,0.0942652701618033,0.587523538422824,0.749823398496482,0.726106773643232,0,1.46545617738128,2.5996482765924,2.7257162572816,0.033386686929924,0.217321038906572,0.69076408114469,2.93448404227418,58.77,"CV_done",TRUE,1264,FALSE
"7","nig_cor",107,358,FALSE,-0.0649004350033184,-0.399660420677352,0.266349620105073,1.67351066931258,0.946827283694355,1.41809930412369,0,15.6652001104362,1.44893958775811,1.48074533548476,0.0891861523616296,0.573593384028111,0.996607045906084,4.5989089712197,58.77,"CV_done",TRUE,1280,FALSE
"8","nig_cor",108,407,FALSE,0.0305288865570013,1.6433995750452,0.00505025541990124,0.0145977624753194,0.0434471514910111,0.680151883142534,0,8.15698127062654,0.0117475807278774,0.00428625129074567,0.222968295431079,1.62779841124336,0.943981552383887,3.0614598637295,58.77,"CV_done",TRUE,1276,FALSE
"9","nig_cor",109,658,FALSE,-0.00331110104549852,1.06196153185218,0.00127225670734536,0.0383574835769525,0.022951647279295,0.506794733857777,0,6.836502845115,0.0099038041004902,0.0172554565540661,0.176654529491539,1.33305515951914,0.942741368949361,2.13996775822507,58.77,"CV_done",TRUE,1285,TRUE
"10","nig_cor",110,584,FALSE,-0.00556222643715032,0.112340600608262,0.00046686299663315,0.0174884472410883,0.0151914759658757,0.221599192627488,0,3.85296386243936,0.00253534149381287,0.00854102833539431,0.206586751440281,1.19152401428607,0.976535629185759,3.12657917312174,58.77,"CV_done",TRUE,1277,FALSE
"11","nig_cor",111,381,FALSE,-2.27156895481646,-0.374398091078796,0.00272159993336902,0.00591677955175586,0.105783551501443,0.804185880190366,0,2.1648361014409,0.767693482670271,4.5742951601278e-05,0.14209379044854,0.98051431071195,0.946208314162468,3.04599232449852,58.77,"CV_done",TRUE,1276,FALSE
"12","nig_cor",112,431,FALSE,-0.052705441283741,0.128350513665719,0.109522266761301,0.636631594115702,0.549498365543466,0.553210239622459,0,4.13534766192908,1.11077796369144,1.0668949877977,0.0475888051551016,0.255217703782097,0.963696255533669,3.00679856711792,58.77,"CV_done",TRUE,1269,TRUE
"13","nig_cor",113,592,FALSE,-0.0769516155543768,0.242041820280045,0.0973950885126005,0.559786233789906,0.415483217836112,0.487469969303048,0,3.43566902200985,1.36708707656463,1.32435355152348,0.0428467764789907,0.230021440350118,0.9588027250335,3.91168688416205,58.77,"CV_done",TRUE,1272,TRUE
"14","nig_cor",114,196,FALSE,-0.0207857971140864,0.161849914562729,0.0795093446098698,0.496769105375826,0.640276827910786,0.263026357060878,0,2.79674000400836,1.53716768891857,1.95146678056118,0.0379656959385009,0.187422457697278,0.916510279907148,3.42944888707388,58.77,"CV_done",TRUE,1291,TRUE
"15","nig_cor",120,892,FALSE,0.210803144329405,0.397799447667275,0.134177640413469,0.64378172541815,0.885666410741753,0.812945032373662,0,1.3788642793668,1.72350945495446,1.50345479046538,0.0860192632513401,0.344010679622737,0.793949138086436,1.00707257797597,58.77,"CV_done",TRUE,1255,TRUE
"16","nig_cor",121,805,FALSE,0.202225490767848,0.395216911097804,0.140369526047781,0.670363930365734,0.673498717157131,0.588619426453097,0,1.7323490253343,2.11334972450954,1.69407233639632,0.0827190148919875,0.333501533326267,0.789816719466168,2.10207624355952,58.77,"CV_done",TRUE,1251,TRUE
"17","nig_cor",123,378,FALSE,0.0862732482594663,0.0183734575007438,0.0119739263064696,0.328860781416607,0.636467966865775,0.816264954837622,0,-0.270091669729173,1.63213525334532,1.30119183974017,0.00462941142141398,0.161468328677113,-0.35925459678546,2.89553758846665,58.77,"CV_done",TRUE,1256,FALSE
"18","nig_cor",125,358,FALSE,0.0405560235799115,0.189285335207213,0.0548538160694232,0.927362411171911,0.373850181055702,0.952756333890023,0,1.92888943824619,2.43019163677291,1.72130590043798,0.0105198326863298,0.318141733737174,0.732264920435618,1.63609875368023,58.77,"CV_done",TRUE,1250,TRUE
"19","nig_cor",126,933,FALSE,-0.105216251184728,-0.0201408913093197,0.0619771539221598,0.957301555627868,0.40457025976492,0.0630092474737377,0,1.44236504048104,0.950514448046392,1.04467892799124,0.0299294451484244,0.42982877652958,0.889521269646977,2.9337999078797,58.77,"CV_done",TRUE,1252,FALSE
"20","nig_cor",127,998,FALSE,-0.174134334791007,0.0114222215567731,0.0586921501024669,0.885404868929318,0.733405633230379,0.0256283259357635,0,1.11451525746011,0.710657550450264,0.89998370927237,0.0321517803654097,0.428058483817532,0.935446986267415,2.34144290804863,58.77,"CV_done",TRUE,1252,TRUE
"21","nig_cor",128,494,FALSE,-0.18883403160273,0.0197789698402809,0.056551305500233,0.900953121478732,1.02416530045609,0.0113859728483422,0,0.790818854636091,0.738863347565288,1.04333114779255,0.0311229916333726,0.389055540272289,0.942946756270601,2.84345193564892,58.77,"CV_done",TRUE,1253,FALSE
"22","nig_cor",129,348,FALSE,-0.0585834052406252,0.0067504833977918,0.0620056618745572,0.85754494186463,0.90460962537211,0.026443532725662,0,1.02075865465565,0.844769115893241,1.17875035781944,0.0344009443576868,0.406539810424432,0.932281019482215,2.81869697581287,58.77,"CV_done",TRUE,1251,FALSE
"23","nig_cor",130,332,FALSE,0.0281087119433117,0.0513074073438696,0.0722878558091307,0.723091240800184,0.374019259172945,0.257315994096738,0,1.36990553880937,1.54662761489733,0.935262076302266,0.0349696705942917,0.434677567230492,0.933797299946279,10.3817029315233,58.77,"CV_done",TRUE,1250,FALSE
"24","nig_cor",131,294,FALSE,0.0636409879788315,-0.00795671174127917,0.0757098235640393,0.705379748345651,0.742566764452036,0.30227647978581,0,0.960887304167804,1.59708033872811,1.17597888613517,0.0349818013317422,0.413968622657573,0.841493421115004,10.205183824963,58.77,"CV_done",TRUE,1249,FALSE
"25","nig_cor",132,381,FALSE,0.242079944190679,0.0451283908982665,0.07189885922332,0.752852379674047,0.689639942343091,0.428621851264078,0,0.863884745403118,1.62590921129474,1.531760947687,0.0334929601218276,0.406886192164295,0.784663335292238,4.49828079754004,58.77,"CV_done",TRUE,1253,TRUE
"26","nig_cor",133,729,FALSE,0.14598986243085,0.0845530251609524,0.0779697772410929,0.677156445087532,0.754518151511952,0.813029661138404,0,0.68762321073788,2.02631442186796,1.63823000759421,0.0331592090525007,0.389390880109582,0.725017855965849,1.67291404284537,58.77,"CV_done",TRUE,1250,TRUE
"27","nig_cor",134,389,FALSE,-0.0142420234652222,0.0206415683934754,0.0877851502871188,0.554650060106361,0.352899390716159,0.66655579604052,0,0.72907687659415,2.20248895608788,1.47433368351742,0.0366007474980643,0.352276819637545,0.63110739782774,8.55115564101272,58.77,"CV_done",TRUE,1245,FALSE
"28","nig_cor",135,331,FALSE,0.0427235285968584,0.120953111027254,0.0914420953373351,0.506571301303746,0.304009497765824,0.673068344492395,0,0.859230583304642,2.06542516467101,1.38664397850361,0.0339191211341879,0.267202491470796,0.493144176743888,2.85440390668809,58.77,"CV_done",TRUE,1251,FALSE
"29","nig_cor",136,302,FALSE,0.274320367025438,0.303935235458599,0.0764498608126253,0.465961079599242,0.773999440339018,0.809811150303141,0,1.19381186846341,1.90075019083347,1.79329637638321,0.0270801075479959,0.188177165638982,0.524734259476045,12.7334028896358,58.77,"CV_done",TRUE,1246,TRUE
"30","nig_cor",137,300,FALSE,0.105128284785493,0.215050505419363,0.0512753917458243,0.34186742956612,0.24606137910432,0.818510849280165,0,1.42646456607018,1.67764875415692,1.53514955084672,0.0251983567068933,0.182907737194803,0.753403221688009,3.035711069383,58.77,"CV_done",TRUE,1256,FALSE
"31","nig_cor",138,168,FALSE,0.00482133081136068,0.432226857826055,0.0530027803942857,0.407374430791537,0.222223279052891,0.836978390117706,0,2.20347151142165,2.00601972436311,1.6809094668447,0.0302298405861972,0.233401887408766,0.905303317519019,3.15341804438719,58.77,"CV_done",TRUE,1244,TRUE
"32","nig_cor",139,228,FALSE,5.26215236602043,0.0237721222920276,0.0181548592860603,0.379590859341345,0.158784167442024,1.18510072093962,0,0.321131425905156,0.449810675932928,0.470155601006324,0.11365697585367,0.601599499006977,0.996552555149193,1.1234657680326,58.77,"CV_done",TRUE,490,FALSE
"33","nig_cor",140,178,FALSE,-0.0205194133043332,0.25886416751353,0.183136383164205,1.13617149993899,0.238155692114833,0.427901181964159,0,6.38340731411959,1.04264799136037,1.07034700944756,0.0720192596616345,0.460148629948655,0.988301937442648,2.99568772071214,58.77,"CV_done",TRUE,1258,TRUE
"34","nig_cor",141,264,FALSE,-0.0088960753484307,0.597492916451766,0.0883673530189359,0.547104034592615,0.055852318254778,0.590740234846133,0,2.70002766335281,1.49332765162941,1.27649269360036,0.0446810225396191,0.257310566576694,0.956473723686971,4.52380764310559,58.77,"CV_done",TRUE,1255,TRUE
"35","nig_cor",142,356,FALSE,0.00766371498582116,0.700266666966998,0.0688044328174673,0.406787206781393,0.0904872348587045,0.551369124492075,0,3.73955940333469,1.27858304526883,0.84813894305487,0.0537839943622772,0.29901027852927,0.971276427000702,2.28635479727277,58.77,"CV_done",TRUE,1248,TRUE
"36","nig_cor",143,432,FALSE,0.0267128799772131,0.294201951409512,0.0891255765191691,0.4678165601776,0.0974305167907076,0.441851700200291,0,3.99200616960468,1.01447001642336,0.824159793178758,0.058467500588761,0.313578447521515,0.978499911422813,3.08798256481135,58.77,"CV_done",TRUE,1249,FALSE
"37","nig_cor",144,515,FALSE,0.0588035950739695,0.314015282120097,0.0997770785861765,0.494253041227392,0.594077123746202,0.789903483052082,0,4.33138628839769,1.30016639696942,1.22196115451377,0.0528119600862647,0.274978946596359,0.968178565911287,2.43102094714012,58.77,"CV_done",TRUE,1252,TRUE
"38","nig_cor",145,548,FALSE,0.0104793993262055,0.125113150961818,0.113029576077893,0.538532958779971,0.390297862368201,0.623672065868631,0,3.80351944682305,1.88740043910057,1.72338334247569,0.0462495259994404,0.233946317014289,0.938064884909317,3.3079354345081,58.77,"CV_done",TRUE,1253,FALSE
"39","nig_cor",146,370,FALSE,-0.0299528319712025,0.12837781796489,0.112338923459426,0.548120280103144,0.461267120867597,0.525485586038916,0,3.35923633889274,2.1009167626919,1.9759371339487,0.0424117566648372,0.218461150600208,0.908944995298186,3.05193687436757,58.77,"CV_done",TRUE,1253,FALSE
"40","nig_cor",152,177,FALSE,0.678096820996634,-0.337346832093674,0.121318896550708,0.596602272150865,0.855546963905694,1.36730441059215,0,0.491893004262719,0.804950228244163,1.22708269592649,0.10838514805589,0.407966614779833,0.881984363943699,59.5008993387222,58.77,"CV_done",TRUE,450,FALSE
"41","nig_cor",153,487,FALSE,0.148016456605925,0.360613065284122,0.137870953905285,0.647295381658533,0.24881474668021,0.888999167153985,0.0726944406429232,1.4273850908242,2.00476012421529,1.47771724446672,0.077718044303547,0.327388868856282,0.762020327918382,3.8439192767938,58.77,"CV_done",TRUE,1213,FALSE
"42","nig_cor",154,615,FALSE,0.0550860634745085,0.454206300890135,0.10865177412219,0.504355307272196,0.194946666330667,0.749468687166312,0.0444391147282091,1.3733924356235,2.18163280347053,1.61151556716674,0.0603944125880069,0.275526684354622,0.721534351863552,3.69321788748105,58.77,"CV_done",TRUE,1212,FALSE
"43","nig_cor",155,141,FALSE,0.0436358367230211,0.303659548222207,0.0592171194125706,0.380845617647802,0.0902306415637057,1.39177607184682,0.012761281136002,0.648475352362304,2.97867540863568,1.72293844733113,0.0317690900533016,0.202891332582416,0.523970405058357,3.77543848315875,58.77,"CV_done",TRUE,1220,FALSE
"44","nig_cor",156,919,FALSE,0.113776721096036,-0.301652510261314,0.0139277670201287,0.271804551931943,2.36432355677135,1.92499548271132,1.29341665689801,0.286433918155696,1.65947782159885,1.31505883403748,0.00680807578615757,0.184461158676553,0.122072239703027,3.60994517359469,58.77,"CV_done",TRUE,1212,FALSE
"45","nig_cor",159,199,FALSE,-0.0662797278241068,-0.021819432660087,0.0611554443126925,0.963654402274951,0.232399000747102,0.266347394465003,0.0453901923352817,1.52925650537471,1.95438707338725,1.80447178448606,0.0195003264526429,0.318196601130085,0.716221856961342,17.2473541293542,58.77,"CV_done",TRUE,1216,FALSE
"46","nig_cor",160,563,FALSE,0.0341001510562414,0.0139596476981866,0.0880275785477818,0.893654818231532,0.210089321033852,0.636088747371581,0,1.22278601059491,1.27230152410265,0.694264362898517,0.0363063808004257,0.492911776943099,0.838379433179899,13.1169622929229,58.77,"CV_done",TRUE,1214,FALSE
"47","nig_cor",161,444,FALSE,-0.0368517902059294,0.0676063131301383,0.0729579666447551,0.845672355077872,0.272100492429026,0.594945339446016,0,1.00276260784367,1.0422782019009,0.755561547102274,0.0384881169278945,0.502209759008393,0.77291474064601,13.4959002694819,58.77,"CV_done",TRUE,1215,FALSE
"48","nig_cor",162,314,FALSE,-0.387554156931478,0.0292823442387586,0.0530032833705516,0.608627221469395,0.764763137391345,0.64419648662684,0,0.750552229409875,0.733998156653289,0.504235447517751,0.0384531266411815,0.452266560798605,0.692646407349178,11.8650344717503,58.77,"CV_done",TRUE,1215,TRUE
"49","nig_cor",163,295,FALSE,-0.227758007550745,-0.118118598186018,0.0604648418942675,0.575879343342217,0.484030943438467,0.787361862808492,0,1.05289400154777,1.03776232306981,0.48838589103386,0.0353450850950378,0.399120133099247,0.691282843807452,13.3689375999239,58.77,"CV_done",TRUE,1222,FALSE
"50","nig_cor",164,321,FALSE,-0.184087917682958,-0.137640236793805,0.058104762403273,0.5082471281134,0.348054028732864,0.350492771799634,0,1.12376000718841,1.40841485346923,0.561361288365154,0.0349792675600938,0.373100899770556,0.73080076596417,13.184074304435,58.77,"CV_done",TRUE,1221,FALSE
"51","nig_cor",165,437,FALSE,-0.0408067807658233,-0.12578780620923,0.0581547459164682,0.452853957401994,0.293163232030427,0.5118107438465,0,1.03131779652736,1.45349928504675,0.42946994866462,0.0281751487243995,0.335161286940946,0.711075217640867,8.68063020024035,58.77,"CV_done",TRUE,1220,TRUE
