model,gridID,n_points,refit,Mu1,Mu2,Sigma1,Sigma2,Nu1,Nu2,Theta,Rho,Kappa1,Kappa2,sigma_e1,sigma_e2,rho_e,Time,TimeCV,cv_status,RB,n,conv
gauss_cor,100,392,FALSE,NA,NA,0.0156547756877923,0.098769989276061,NA,NA,0,-0.303564666290704,1.43358500936411,1.55521115930197,0.00899933910273371,0.047218488553329,-0.669348485932034,3.4334476381154,5.33,CV_done,TRUE,1271,FALSE
gauss_cor,101,410,FALSE,NA,NA,0.00843684009869908,0.09715661655264,NA,NA,0,-1.11935875167607,0.4231870719787,1.69350679582952,0.0106998173001107,0.0447061016127527,-0.599792561349564,3.32671758225119,5.33,CV_done,TRUE,1282,FALSE
gauss_cor,102,442,FALSE,NA,NA,0.0103078376381402,0.090621668990622,NA,NA,0,-0.067695045638309,0.794696979403336,1.46824680748457,0.00862161946471956,0.0395791646079138,-0.442115183830302,3.18414505450262,5.33,CV_done,TRUE,1276,FALSE
gauss_cor,103,408,FALSE,NA,NA,0.0124383214086623,0.0960342765214702,NA,NA,0,0.190244186472018,1.63637072303755,1.43161140570691,0.0063647173764522,0.0383914463343107,-0.283509478164766,3.35511979484172,5.33,CV_done,TRUE,1279,FALSE
gauss_cor,104,538,FALSE,NA,NA,0.011197401756302,0.0999141644378126,NA,NA,0,0.00638159564430242,1.54168897515989,1.45901180568979,0.00426165710487762,0.0430719522814742,-0.378586717429468,3.44416075858253,5.33,CV_done,TRUE,1275,FALSE
gauss_cor,105,228,FALSE,NA,NA,0.00906124447337844,0.114481764602298,NA,NA,0,-0.201789118191415,1.43423138023087,1.79031430150249,0.00360963014483694,0.043600023430599,-0.559767946238396,3.30910687829885,5.33,CV_done,TRUE,1264,FALSE
gauss_cor,107,310,FALSE,NA,NA,0.0119702352368679,0.28307461358902,NA,NA,0,-1.1290068738071,1.16397601521693,1.27053855152695,0.0042941800838794,0.103733177187263,-0.761750851978113,2.45318821365635,5.33,CV_done,TRUE,1280,FALSE
gauss_cor,108,360,FALSE,NA,NA,0.0387927653301248,0.788201588300736,NA,NA,0,1.40229331153557,1.49855620496515,1.27871243907647,0.0113174141269499,0.209874324498606,0.623805164457769,3.37551482206693,5.33,CV_done,TRUE,1276,FALSE
gauss_cor,109,610,FALSE,NA,NA,0.0473594823748713,0.832215388410074,NA,NA,0,1.50662524034171,1.18934656744683,1.2899658663738,0.0141121120246195,0.228020037540998,0.732585199172727,3.42114885459344,5.33,CV_done,TRUE,1285,FALSE
gauss_cor,110,540,FALSE,NA,NA,0.0546933768303281,0.791312272703941,NA,NA,0,1.3819126780457,1.0753852626299,1.30391766905689,0.015061280030568,0.172046016994071,0.722223970295917,3.49507439228948,5.33,CV_done,TRUE,1277,FALSE
gauss_cor,111,373,FALSE,NA,NA,0.0580603625058427,0.587161647644946,NA,NA,0,1.18590181459891,1.2081758833439,1.14916854373954,0.0169875936323425,0.134599058853117,0.689316956477825,3.38471716906461,5.33,CV_done,TRUE,1276,FALSE
gauss_cor,112,421,FALSE,NA,NA,0.0660206258546332,0.393384797996532,NA,NA,0,1.57946954873563,1.40371774516719,1.12209714042676,0.0277267686837008,0.15840106268282,0.852742967929447,18.707329993248,5.33,CV_done,TRUE,1269,TRUE
gauss_cor,113,560,FALSE,NA,NA,0.0985901720549912,0.44014441390064,NA,NA,0,2.68190722685275,1.93027245717009,1.56790058766352,0.0433692776227241,0.191148706624053,0.922695838338793,10.7280942508909,5.33,CV_done,TRUE,1272,TRUE
gauss_cor,114,182,FALSE,NA,NA,0.129488205478361,0.516996952871711,NA,NA,0,3.91135203018011,2.50254065129796,2.5721294000336,0.0465534284361327,0.179775744421222,0.933202287694362,20.4256112372875,5.33,CV_done,TRUE,1291,TRUE
gauss_cor,120,836,FALSE,NA,NA,0.0503791462826366,0.299272882485998,NA,NA,0,2.18914346221671,1.45289950935962,1.50787025832659,0.0293080104084593,0.148675985808008,0.757493786013454,11.0182157268789,5.33,CV_done,TRUE,1255,TRUE
gauss_cor,121,713,FALSE,NA,NA,0.038578536252138,0.247268503802837,NA,NA,0,1.67436067837351,2.07147417886942,1.83389490821765,0.0215016459041384,0.114529780632598,0.607240167530858,13.334057811896,5.33,CV_done,TRUE,1251,TRUE
gauss_cor,123,340,FALSE,NA,NA,0.00906001727297226,0.154541727471962,NA,NA,0,0.743136106876483,1.56789927199829,1.39879313584226,0.0035333723415802,0.0788531530004106,0.820835828272277,3.33510240335431,5.33,CV_done,TRUE,1256,FALSE
gauss_cor,125,290,FALSE,NA,NA,0.0162502544299441,0.193672405738553,NA,NA,0,-0.532384917248755,1.89918824766793,1.16702821879859,0.00720299688794884,0.111426163766046,-0.484399819949592,3.27100029445633,5.33,CV_done,TRUE,1250,FALSE
gauss_cor,126,858,FALSE,NA,NA,0.0220354878814941,0.234271959465352,NA,NA,0,-0.404700756653338,1.44890876162008,1.24605412844893,0.0112058808917248,0.102541899790552,-0.505238266674827,3.25192554983,5.33,CV_done,TRUE,1252,FALSE
gauss_cor,127,949,FALSE,NA,NA,0.0221129157377615,0.215788918888289,NA,NA,0,-0.325253196813611,1.30686561481381,1.2926961203045,0.0122173913385162,0.0950870210993196,-0.612311822794125,3.32397318963927,5.33,CV_done,TRUE,1252,FALSE
gauss_cor,128,476,FALSE,NA,NA,0.0188800034169467,0.183626169518451,NA,NA,0,-0.330863521967666,1.3532924261758,1.53606398289617,0.0112568607721654,0.0848367935247502,-0.650909368413268,3.34341796543587,5.33,CV_done,TRUE,1253,FALSE
