"model","gridID","n_points","cv_pdensity_MAE","cv_pdensity_MSE","cv_pdensity_CRPS","cv_pdensity_SCRPS","cv_pdensity_MAE_sd","cv_pdensity_MSE_sd","cv_pdensity_CRPS_sd","cv_pdensity_SCRPS_sd"
"nig_cor",100,392,0.0184693397973792,0.00055206161450793,0.012284549018549,-0.849803077918872,0.0101328388189924,0.000483245449063403,0.00655547537655308,0.234967334662557
"nig_cor",101,410,0.0228556700811128,0.000785012026462905,0.0164270355673726,-0.70289571378235,0.00396193278061463,0.000202811011323465,0.00235359964210367,0.0827154955311484
"nig_cor",103,408,0.0136349918378507,0.000271277385908605,0.00906711770963795,-1.00240035411198,0.00769112158590815,0.000232523290158373,0.0043208771545,0.219574712545094
"nig_cor",105,228,0.0066825350696827,7.38138128769711e-05,0.00479756478519525,-1.3170645840739,0.00242583224231955,3.71628164274094e-05,0.0013813623491586,0.150522674723002
"nig_cor",107,310,0.0185268056575058,0.000617847001567071,0.0132099042402179,-0.822882353013532,0.00615044561520684,0.000263377690488439,0.00343707052877502,0.127673992912621
"nig_cor",108,360,0.0520215256314107,0.00427664346321328,0.0371055333716169,-0.304180357513297,0.0268114874545386,0.00327648944890301,0.0158012676901231,0.240078207503175
"nig_cor",109,610,0.0370948649470053,0.00234003260349491,0.0251581439573678,-0.49940029813936,0.01911152796792,0.00177212657512236,0.0108917044895497,0.185554791936783
"nig_cor",110,540,0.0263925380645142,0.00124114881512888,0.0192117218760735,-0.63831886893475,0.0112317997666386,0.000660290895353679,0.00577282088643127,0.14636467997907
"nig_cor",111,373,0.0357893053394563,0.00180121715625527,0.0245424958499477,-0.503630320521783,0.0194873936184439,0.00148104990312947,0.0105971787939483,0.218209556177935
"nig_cor",112,421,0.0292579021584838,0.00128647617237731,0.0215808798940431,-0.565282572336617,0.0171276716029378,0.00116620666630039,0.0103304875203627,0.277944101357193
"nig_cor",114,182,0.0278595236744319,0.0012887254301018,0.0189486948407091,-0.63011968306023,0.0106616298469782,0.000673464836590387,0.00620861923993202,0.135712477415605
"nig_cor",120,836,0.0136708634401551,0.000845688733209191,0.0113616203270217,-0.894324384648566,0.00390063491686673,0.000126176081776392,0.00155169844486233,0.0550492648027484
"nig_cor",121,713,0.00866547017596048,0.000131736373296609,0.00670613091443193,-1.11677517108697,0.00277843352048036,5.61168471500634e-05,0.00110452133617305,0.0530824433997001
"nig_cor",123,340,0.00860425017636846,0.000116255692156487,0.00613002332164527,-1.19268884118686,0.00260463493384041,4.93969496931219e-05,0.00134127401342366,0.0970903363207142
"nig_cor",125,290,0.0134790596972728,0.000319029616186738,0.00973248307225711,-0.97210173390855,0.00123316057574,3.70362330683882e-05,0.000674236877906342,0.0323253335146396
"nig_cor",126,858,0.0325273649532933,0.00157276300008939,0.0217058077754645,-0.568779118017981,0.0170956703918495,0.00124726129260179,0.00990819715209428,0.217182567856287
"nig_cor",127,949,0.0403079643790815,0.00215812682688827,0.025471438838664,-0.486758512925737,0.0186950423769311,0.0015136949908457,0.00947030764715033,0.168880776669312
"nig_cor",128,476,0.0319272913470299,0.00147001489785697,0.0228631650942522,-0.541548298406049,0.0170209479732675,0.00121864204202378,0.00908518058008622,0.201670580970615
"nig_cor",129,337,0.0267713209941864,0.00109773969515624,0.0164996824892293,-0.691951045007163,0.012462653929678,0.000823383453985892,0.00778973397431946,0.182793660453538
"nig_cor",130,330,0.0220665799159896,0.000706799329742313,0.0150212994849179,-0.75058946668167,0.0107819140963174,0.000534151133937864,0.00607275529127209,0.192654995619425
"nig_cor",131,282,0.0171455457816203,0.000477265504688566,0.0120094681991877,-0.865841706467471,0.0109104726123332,0.000472808646878207,0.00678033438210415,0.272483850918948
"nig_cor",132,353,0.0148448158052194,0.000374691015555338,0.0106789266787117,-0.928025821681654,0.00531468120530906,0.000200261228199811,0.00346823220183903,0.181195029189169
"nig_cor",133,631,0.0100847486291206,0.00017290664742602,0.00719128002175924,-1.12697612294973,0.0026829082515893,6.3507296585991e-05,0.00164415024721453,0.124305211409397
"nig_cor",134,326,0.00932550976767708,0.000142301427897651,0.00650940909927909,-1.17537114836222,0.00252614024614696,5.35633292208982e-05,0.00137678754763017,0.0956997533571037
"nig_cor",135,278,0.00886954643434787,0.000128584029441083,0.00628316393364819,-1.19079331275433,0.00269973599591943,5.20182224126436e-05,0.00141587982219325,0.112037092351739
"nig_cor",136,250,0.00729024708770112,8.58944790335656e-05,0.00519437166919395,-1.28840441326757,0.002836934401002,4.76556295768104e-05,0.00164327402279464,0.165969143406843
"nig_cor",137,241,0.00674077296853244,7.1437015099655e-05,0.00464962879744221,-1.34425971479963,0.00177761322780116,2.66090785079748e-05,0.00100205223145277,0.10681504120334
"nig_cor",138,151,0.00841130102613785,0.000109288086159859,0.00598090616797865,-1.18096602740852,0.00127306613458897,2.43746683567286e-05,0.000716961820838414,0.0436641727524223
"nig_cor",139,209,0.022773791497061,0.00212260624128748,0.0175592685489679,-0.669128952270547,0.0139113116933263,0.00254536953522593,0.011881477903522,0.379571650067902
"nig_cor",140,163,0.0225616129226746,0.000809773015044801,0.0162658380308846,-0.708714210346648,0.00989557001686541,0.000523326798519849,0.00593546547494823,0.21192566819652
"nig_cor",141,243,0.0367183381672905,0.00188608753126819,0.0267367250540018,-0.453724271353211,0.0156155470044044,0.00117589352213455,0.00809177674827831,0.168963999241889
"nig_cor",142,325,0.0217626171362214,0.000941636093121334,0.0160830499803322,-0.722079813702326,0.0101239386002391,0.000716653029309048,0.00717054809522634,0.235453387995764
"nig_cor",143,415,0.0117889764531114,0.000222137655597473,0.00843018605930092,-1.03292778409237,0.00541997014600504,0.000144703351193502,0.00270939394203067,0.132223818486454
"nig_cor",144,477,0.0153976738397542,0.000365422100956604,0.0107127213711001,-0.921797759859046,0.00779157818578851,0.000275923241842446,0.00465567462596499,0.219630598327286
"nig_cor",145,520,0.022154370001738,0.000672703448342601,0.0122628493214789,-0.827145878130372,0.00919673565728527,0.000425014826609118,0.00503497147443456,0.143959793421991
"nig_cor",146,327,0.0183236027998893,0.000480219613378389,0.0125053814128554,-0.84174959931481,0.00856736344375523,0.00033227785097867,0.0047848496937801,0.187047876857154
"nig_cor",152,153,0.0220470077483414,0.000806024188952398,0.0159169248265423,-0.717632623412025,0.0120598071543896,0.000678783766528525,0.00702080973299334,0.211864849107026
"nig_cor",153,452,0.0188047592300744,0.000571907649334883,0.0129973812098595,-0.831495056939449,0.00830530437895666,0.000357833303672646,0.00484131683901027,0.18864023864859
"nig_cor",154,592,0.0140852321664892,0.000287928157663821,0.00964368567965179,-0.965088983288406,0.00714211172736586,0.000219355685439259,0.00383647693236476,0.174114337556968
"nig_cor",155,130,0.0143729880442815,0.00030507864691818,0.00975457995626155,-0.966195397916004,0.00595544488281141,0.000193755746309628,0.0038430467187544,0.217238368106436
"nig_cor",156,842,0.00995732589100259,0.000165124299952695,0.00697042692471654,-1.13661800089547,0.00231019370612042,5.06951142628254e-05,0.0012002834981589,0.0744963452217795
