"presLevel","model","gridID","refit","n_points","cv_Psal_MAE","cv_Psal_MSE","cv_Psal_CRPS","cv_Psal_SCRPS","cv_Temp_MAE","cv_Temp_MSE","cv_Temp_CRPS","cv_Temp_SCRPS","cv_Psal_MAE_sd","cv_Psal_MSE_sd","cv_Psal_CRPS_sd","cv_Psal_SCRPS_sd","cv_Temp_MAE_sd","cv_Temp_MSE_sd","cv_Temp_CRPS_sd","cv_Temp_SCRPS_sd","cv_Temp_RMSE","cv_Psal_RMSE"
1000,"gauss_indep",100,TRUE,392,0.00970110973631168,0.000159017179880972,0.00710379447713901,-1.12164043328895,0.0483861362993268,0.00410768590679503,0.0350332349495982,-0.328182902380729,0.00018078479772099,3.76316135300469e-06,0.000227424603469607,0.0214177045881471,0.00111076004301374,0.000110608605826122,0.00124192089978366,0.0190974007634388,0.0640912311224791,0.0126102014211103
1000,"gauss_indep",101,TRUE,410,0.0102518353482558,0.000173531080507281,0.00748656490232138,-1.08340267026726,0.0410936066004001,0.00277919099606118,0.0292831757084849,-0.418605878356196,0.000152385380673419,3.47622816348256e-06,0.00021714601511089,0.0220428205009533,0.000919971312763896,7.63111952451615e-05,0.0011042028470517,0.0171244050575648,0.052718032930499,0.0131731196194099
1000,"gauss_indep",102,TRUE,442,0.00786019550081759,0.000102852021996736,0.00568711095179082,-1.24132981002286,0.0347987925891977,0.00201177742650968,0.0250190549038918,-0.492805256715677,0.000133331711778596,2.13825937880326e-06,0.000174531133253344,0.0194672345569708,0.000868769718752621,6.18978534939108e-05,0.00100533163564965,0.0173865821489031,0.0448528419000366,0.0101415985917771
1000,"gauss_indep",103,TRUE,408,0.0058856741021268,5.72689546103097e-05,0.00429261427947565,-1.37464887569061,0.0353969966966793,0.00214567621059477,0.02520433508944,-0.497687391547425,0.000133756637886677,1.55150305184264e-06,0.000144845900999205,0.0177191873411704,0.000904060882516074,6.87408450465288e-05,0.00101418828614556,0.0174051886374904,0.0463214443923629,0.00756762542745805
1000,"gauss_indep",104,TRUE,538,0.00399782315223857,2.59584046232493e-05,0.00290344742426354,-1.57533627332072,0.04217592375533,0.00308003511885351,0.0301802790830275,-0.410451536491928,8.47667169040834e-05,7.49828069276734e-07,9.89089029075639e-05,0.0165331702592255,0.000837579466832887,7.62653311379652e-05,0.000994498083495241,0.0167060689807081,0.0554980641000523,0.005094939118699
1000,"gauss_indep",105,TRUE,228,0.00329564361683087,1.87661919059463e-05,0.00243268699501622,-1.65530972213306,0.0416596371737212,0.00275522208325062,0.0294479712538282,-0.414412694387176,4.91027566560831e-05,3.67338607895833e-07,6.84461197275622e-05,0.0163458236431719,0.000605576308470277,5.08314158130737e-05,0.000940882093615,0.0168311356930215,0.0524902094037604,0.00433199629569859
1000,"gauss_indep",107,TRUE,310,0.00404316945706385,4.33062027469851e-05,0.00316410509108949,-1.54662942950092,0.0980239478121487,0.0194112591555598,0.0735397118715804,0.0313115720274099,9.43858881831545e-05,8.96461087393844e-07,0.000105951771791866,0.0187656552575073,0.00200614724291208,0.000439461145481624,0.00233549371609119,0.0176514531258621,0.13932429492217,0.00658074484743065
1000,"gauss_indep",108,TRUE,360,0.0121303212390147,0.000380226210428523,0.00947496862842638,-1.00280644734624,0.268456573666442,0.164375075478981,0.2021231183066,0.526086399552027,0.00032707577305497,9.26504853295568e-06,0.000392114284499503,0.0226326250255953,0.00576863185722443,0.00379876848115171,0.00687403747610793,0.0222535128303452,0.405431961590328,0.0194993900014468
1000,"gauss_indep",109,TRUE,610,0.0136100668632717,0.000574989202569381,0.0109769925300495,-0.939952431126229,0.235043879878826,0.124134345422838,0.178434176576033,0.461169382533107,0.000467921049735843,1.69012085640605e-05,0.000514222340483498,0.0199657581021761,0.00769763091874727,0.00465618078187902,0.00849066625934733,0.0200033378020337,0.352327043274907,0.0239789324735148
1000,"gauss_indep",110,TRUE,540,0.0125992737120169,0.000309887922515748,0.00994269433094268,-0.951935493968384,0.179601593281518,0.0662984940414354,0.139131518833503,0.357037606907222,0.000506322514805337,1.48064893669555e-05,0.000513348582121206,0.0186466079730877,0.00713937046445582,0.00314787254377546,0.00742428285601954,0.0188749356423041,0.257484939445855,0.0176036337872539
1000,"gauss_indep",111,TRUE,373,0.0188336357148784,0.000692058099963105,0.0141778476573628,-0.781113437639826,0.167289834923676,0.0503013372970426,0.121518966674257,0.280960099894908,0.000559347332147835,2.23051144198106e-05,0.000652267912320674,0.0225721961168805,0.00551599759588263,0.0021096712034236,0.00559590271414845,0.0205464963403124,0.224279596256643,0.0263069971673527
1000,"gauss_indep",112,TRUE,421,0.0223085605531856,0.00133543350587741,0.017925779180938,-0.699166595332866,0.146708947120365,0.0458800496706506,0.110011225326358,0.216056661685902,0.000825444208546585,5.21394850661436e-05,0.000904508980370326,0.0211464640890844,0.00452759592451729,0.00179038156807064,0.00492262444868663,0.0217818463511554,0.214196287714448,0.0365435836485341
1000,"gauss_indep",114,TRUE,182,0.0597766009870236,0.00761284805962056,0.0460035448271845,-0.155272994464044,0.224967031421082,0.10625194720203,0.1726495521153,0.50402235497368,0.00171904116934,0.00023178558795546,0.00149565170657091,0.0223177330757141,0.0060504609888886,0.00300379505138399,0.00550208748002881,0.0218137989345022,0.325963107118014,0.0872516364294708
1000,"gauss_indep",120,TRUE,836,0.0176353105299946,0.00101624035856622,0.0142548466430167,-0.774445195073241,0.123294122477074,0.0280384996128949,0.0874157995366521,0.118765780692214,0.000277175924546171,9.75366537318743e-06,0.000364877629359804,0.0113046824101274,0.00239401710638264,0.000641654529313943,0.00312382944212783,0.0178097771386562,0.167447005386465,0.0318785250374954
1000,"gauss_indep",121,TRUE,713,0.0123022542332853,0.000266622048556476,0.00959082695596312,-0.958973792653623,0.0939054792107577,0.0145229523535123,0.0667926007256999,-0.00828715599953741,0.000321895006426733,9.0713988861763e-06,0.000378384212473464,0.0138788926876172,0.00180569527066924,0.000388234462266876,0.00220935265410479,0.0154419024658685,0.120511212563447,0.0163285654163639
1000,"gauss_indep",123,TRUE,340,0.00319264860642827,1.66848837455643e-05,0.00229218353038146,-1.69362866576552,0.0748594019444455,0.00896905830970543,0.0527308252073702,-0.127955431713955,6.44688133635864e-05,4.71940351675867e-07,8.21644805486158e-05,0.0172849021568705,0.00127819578603902,0.000209421066618896,0.00158899478598323,0.0171274108042157,0.0947051123736487,0.0040847134226974
1000,"gauss_indep",125,TRUE,290,0.00415340538642554,3.13978948028338e-05,0.00337186190122356,-1.47423671880747,0.0947231910762129,0.0162055095373746,0.0695756590133448,0.0135627647225646,0.00012699556417616,1.10250980251548e-06,0.000133950652272092,0.0142855122317121,0.00159524801343484,0.000305904925832222,0.00185806859433839,0.0138662093384272,0.127300862280562,0.00560338244302794
1000,"gauss_indep",126,TRUE,858,0.0119116368391838,0.00025542424047227,0.00884601314942715,-1.01112264651732,0.112462235565453,0.0220503813260914,0.0810847212166019,0.0868086593257125,0.000218070757664253,5.40142501757511e-06,0.000258481370235834,0.0187572390782718,0.00215445115476396,0.000550315004685232,0.00255548444478888,0.0186475308415199,0.148493708035362,0.0159819973868184
1000,"gauss_indep",127,TRUE,949,0.0104159226122613,0.000189852203957365,0.00771032357319381,-1.08578932103769,0.0922476089614302,0.0137287756995044,0.0650535572894094,-0.0224176860470407,0.000225188620799957,4.84967690982996e-06,0.000265126777202982,0.0165572280891284,0.00201576429636897,0.000408771170408547,0.00229710171020947,0.0176619344246616,0.117169858323309,0.0137786865831749
1000,"gauss_indep",128,TRUE,476,0.0114198969187507,0.000217962552952149,0.0083374778262988,-1.04472455042634,0.0947576484425441,0.0151954869965278,0.0684249668501309,0.00502088576381899,0.000253805380985744,5.99192611023391e-06,0.00031005212515172,0.0212234372393306,0.00200421665835649,0.000368383799226428,0.00236162944345821,0.0192503265114541,0.123269976054706,0.0147635548887166
1000,"gauss_indep",129,TRUE,337,0.00992336046785198,0.000171759167042849,0.00739325433797491,-1.10821300447913,0.0820044974951991,0.0113286130486356,0.0585586495484299,-0.0758685942566055,0.000127269273151393,2.59992565870413e-06,0.00017604660974516,0.0117821084859958,0.00178888703620413,0.000310978508266185,0.00229899239691109,0.019746902495914,0.106435957498562,0.0131056921619138
1000,"gauss_indep",130,TRUE,330,0.00675845354239228,8.20647474169719e-05,0.00508873291196393,-1.29222831081896,0.0586602815009468,0.00572053895274133,0.0422303914361983,-0.235851315460109,0.000174320697757168,2.43427616538912e-06,0.000195157616187064,0.0170395286550858,0.00146810092047751,0.000184744551081495,0.0017396025550523,0.0189747542915145,0.0756342445770521,0.00905895951072594
1000,"gauss_indep",131,TRUE,282,0.00606399912512509,7.11797558241357e-05,0.00468929049419733,-1.33226245058467,0.0629178614600459,0.00660308588903552,0.0444588359176911,-0.214930764698167,0.000168151509473258,2.0937566205203e-06,0.000170019027823537,0.0175719711442642,0.00140849439152951,0.000179866211331861,0.0016215841324314,0.0186387540650335,0.0812593741609885,0.00843680957614522
1000,"gauss_indep",132,TRUE,353,0.00648529250995133,7.61935047407275e-05,0.00478081526973544,-1.32704041806623,0.0759082892683838,0.00972275150493937,0.0537580317500182,-0.119180826154188,0.000123568797383011,1.67083798356368e-06,0.000149444407583026,0.0172263230320522,0.00140294895620619,0.000246271439337115,0.00172879104335125,0.0199781719630906,0.0986040136350411,0.00872888908972542
1000,"gauss_indep",133,TRUE,631,0.00507858762702512,4.71730891815087e-05,0.0038161298381037,-1.44046328786596,0.0675788096379413,0.0082044808591352,0.0480591566702211,-0.187985583077668,0.000113288248758533,1.32859447818783e-06,0.000135318488654105,0.0157954596655148,0.00124414576183176,0.000202358536649706,0.00154479617873237,0.0181991371786689,0.0905785894079567,0.00686826682515383
1000,"gauss_indep",134,TRUE,326,0.00455691999841912,3.91648404847757e-05,0.00351616800312044,-1.47272139767361,0.0643511700416528,0.00734229040604956,0.0460116876499802,-0.20460697083516,0.000127949135611385,1.28164539146987e-06,0.000155084795481661,0.0177519895687883,0.00145198461928942,0.000221848943171644,0.00167125110309719,0.0180879883295401,0.0856871659354513,0.00625818188332488
1000,"gauss_indep",135,TRUE,278,0.00356687230134241,2.37320223112612e-05,0.00270995991284893,-1.60439609311806,0.0609209003845079,0.00649122902651363,0.0439749662256362,-0.227273123747232,8.65354169172253e-05,6.50051610472142e-07,0.000112738144060839,0.0177792560581251,0.00136613750922024,0.000195503380986648,0.00180302536092099,0.0219888109212919,0.0805681638521918,0.00487155235127995
1000,"gauss_indep",136,TRUE,250,0.00256373811338867,1.29734774374633e-05,0.00191644741295419,-1.78958423217991,0.0499364641290287,0.00421141765676169,0.0351777742943719,-0.342170054021097,8.04957671587259e-05,4.61056178310212e-07,8.73901733592064e-05,0.0156002083986513,0.00103022121981761,0.000111670028513974,0.00122311891794532,0.0181973586508074,0.0648954363323161,0.00360187137991674
1000,"gauss_indep",137,TRUE,241,0.0030045829371507,1.79608406129602e-05,0.00217870287504368,-1.72828065711618,0.0498896851214158,0.00423469057497948,0.0349697400241747,-0.349121038125786,6.70308745985266e-05,5.4664543576592e-07,7.82060213113079e-05,0.0174829433734506,0.00103542299639795,0.000108045013228379,0.00118544423524314,0.0169855999456298,0.065074500190009,0.00423802319636882
1000,"gauss_indep",138,TRUE,151,0.00249927621058232,1.47276645998574e-05,0.00189243779289073,-1.7994160670052,0.0599144374437394,0.00590272161038959,0.0431489200869016,-0.211573307203698,5.90768278099697e-05,3.898701288336e-07,7.29849723204305e-05,0.0198003559143347,0.00160456583337558,0.000219390100340981,0.00196456991099726,0.0186497706786274,0.0768291716107208,0.00383766395087655
1000,"gauss_indep",139,TRUE,209,0.00368807145911135,3.05488123196149e-05,0.00284096217229318,-1.61021587390401,0.0869495752014876,0.0145556443510131,0.0649667810137758,-0.0248908174741563,0.000104333658783098,1.06905055491209e-06,0.000121054704913982,0.0209235861819412,0.00205481868860877,0.000405743278856868,0.00244033304066259,0.0174870954803896,0.120646775137229,0.00552709800162933
