"model","gridID","n_points","cv_Psal_MAE","cv_Psal_MSE","cv_Psal_CRPS","cv_Psal_SCRPS","cv_Temp_MAE","cv_Temp_MSE","cv_Temp_CRPS","cv_Temp_SCRPS","cv_Psal_MAE_sd","cv_Psal_MSE_sd","cv_Psal_CRPS_sd","cv_Psal_SCRPS_sd","cv_Temp_MAE_sd","cv_Temp_MSE_sd","cv_Temp_CRPS_sd","cv_Temp_SCRPS_sd"
"nig_cor",100,392,0.0134222837787859,0.000288588467801369,0.00949329516868358,-0.973870547450047,0.0746265718005911,0.00919823259495228,0.0531865987128018,-0.121576014082676,0.000228242019554219,7.00966460714229e-06,0.000255090149824126,0.0163342008736006,0.00128214495518885,0.000200135452642138,0.00126434583138971,0.0132406218644393
"nig_cor",101,410,0.0132960702061096,0.000283529830718143,0.00961188932418512,-0.959101063635396,0.069955902569496,0.00801105991589831,0.0499879453618512,-0.1497514409037,0.000152859797655209,5.21561869459144e-06,0.000180801905545195,0.0118523024922588,0.00119127265180576,0.000191101468974653,0.00158849726914297,0.0166972236330303
"nig_cor",102,442,0.0111257073278388,0.000212009268081455,0.00797194368904412,-1.06871327046096,0.065785541081821,0.0071518503620189,0.0464686151735815,-0.169653822859365,0.000149590191472032,3.66122067187024e-06,0.000184499428174602,0.0148182389162962,0.001452440855159,0.000223475832028595,0.00169628305211206,0.0186744360469804
"nig_cor",103,408,0.0095215564653675,0.000151508494553701,0.00686151057721116,-1.14243399850645,0.0646013243572199,0.00759972145060893,0.0469096867986513,-0.175394694275112,0.000179428118346884,3.84754304637877e-06,0.000177524985936077,0.0145889584480556,0.00189778114889672,0.000321974082368876,0.00205782042052401,0.018666962016232
"nig_cor",104,538,0.00749409229100274,8.6833346260004e-05,0.00526499997062118,-1.26410077579457,0.0807026585351082,0.0109601874130132,0.0569819853691833,-0.0915050129393051,0.000165308140850928,3.12709119098059e-06,0.000203886605235173,0.0190093623491244,0.00145704603610557,0.000295239678129465,0.00161424857362811,0.0170943616235214
"nig_cor",105,228,0.00547577802906223,5.55001744412474e-05,0.00399131074318032,-1.24644615702244,0.0720320694184302,0.00955709785552717,0.0514349033950774,-0.0954789072832262,6.15757875612992e-05,9.8318593230034e-07,0.000137706212423214,0.0174235132731165,0.00104947094948773,0.00023586464659468,0.0014024760326359,0.0135957115733301
"nig_cor",107,310,0.00857138673071554,0.000139568579176053,0.00613347281757125,-1.160828365754,0.153939611342146,0.0392779861780058,0.108802699394956,0.242495050292838,0.000190837489503861,6.1519716490484e-06,0.000186302104073143,0.0190666371589679,0.00340776104260266,0.00126103121672847,0.00371637271492889,0.0166055185711401
"nig_cor",108,360,0.0229469586810056,0.00164815125165484,0.0178450702413934,-0.670344158078497,0.520565352056017,0.579702849695783,0.37236650029816,0.8264543844999,0.000779253546023346,7.61593407485367e-05,0.000964702850527395,0.0354360717924028,0.0177506316079412,0.0444959460569174,0.0221396403116988,0.0264894978936578
"nig_cor",109,610,0.0268999479480961,0.00183469299121914,0.0203506645498284,-0.601251232311873,0.446921287529506,0.402740253082067,0.33210159046337,0.782210732579912,0.000603399644590503,4.84190087517021e-05,0.000679508595667552,0.0223063701297381,0.00994887234181649,0.0105718887134536,0.0118084818039251,0.0165455726260824
"nig_cor",110,540,0.0282266341495125,0.00164893109072965,0.0203448086621578,-0.577934367672068,0.335263459924116,0.239884541525336,0.255244608169871,0.672710456711633,0.000709626915305632,4.61472520889185e-05,0.000919709415425512,0.0252027868176935,0.00850118993230545,0.00651389702892298,0.00932519777300717,0.0197534132073535
"nig_cor",111,373,0.0392158511372648,0.00277677309233577,0.0278846972858663,-0.437349753766673,0.360762820872094,0.232259771216482,0.261803287397525,0.696199834036697,0.00119423403557159,0.000122211175728518,0.00135793912547522,0.024870679299022,0.00724630225355691,0.00630879522739451,0.00717198307450325,0.019692289054743
"nig_cor",112,421,0.0532259299041053,0.00458559987877181,0.0378429933652,-0.208250951252342,0.297335185061293,0.143139065359046,0.213340924283759,0.613142303300092,0.00167169374134652,0.000194930150720877,0.00184209961978876,0.030728693777558,0.00950544794127171,0.00613010830588191,0.00999249806720333,0.0230959617684665
"nig_cor",114,182,0.0750717110485696,0.0110542832235908,0.0571790425569412,-0.0415461705039929,0.283193893738293,0.166561747304263,0.214294088749313,0.621048331342291,0.00177682452155236,0.000415241833157971,0.00230509594878848,0.0170211411730102,0.0114298304730161,0.0116982114958043,0.0208187520776446,0.0365437883672692
"nig_cor",120,836,0.0213771321427028,0.0018393165910908,0.0171156591697986,-0.689638896289215,0.146900980663897,0.0375668055257313,0.106766201256147,0.223371104210305,0.000347623131632555,2.37284693632911e-05,0.000410832662862645,0.0107519996616255,0.00188495593205614,0.000690824512089207,0.00215388118287223,0.0103570049947529
"nig_cor",121,713,0.0203977524754513,0.000712794651368241,0.0148472564454731,-0.726303944890203,0.127953812256365,0.0258948695157688,0.0902064384497235,0.159937459441605,0.000665899591869252,3.35403529246361e-05,0.000769031789309701,0.0191788038358593,0.00254045303985856,0.000799144592886599,0.00351345681103778,0.0156098854453857
"nig_cor",123,340,0.00584303189815585,5.4656661933123e-05,0.00406043360110643,-1.36017951646706,0.0953679612597862,0.0150086897858991,0.0680279064733069,0.0149894963544061,8.12337645114291e-05,1.37337852781499e-06,8.54497702917541e-05,0.0131837582088752,0.00134447044038712,0.000350654679173211,0.00128199035175602,0.00760292089020863
"nig_cor",125,290,0.00604046349122118,6.65885421033902e-05,0.00400050874408755,-1.25865267135678,0.108103130328105,0.020479422473978,0.0776398816242932,0.113994598296319,0.000181368162920895,3.58106334399608e-06,0.00029202943931519,0.0224030487100017,0.00188774109279328,0.000568118038113806,0.0032306506474523,0.0112549211059418
"nig_cor",126,858,0.0174441122222239,0.00050100468675306,0.0125107028156525,-0.820734585668482,0.152679256057317,0.0411545010515634,0.110190515706504,0.243168590570318,0.00029537657425861,1.23851630524779e-05,0.000330341676859008,0.0164906268785671,0.0028346629464485,0.00108399131202547,0.00338059752656629,0.0153171546787606
"nig_cor",127,949,0.0147465680541515,0.000359178919692772,0.0105312250982651,-0.923398543979261,0.127196355082953,0.0263491101560125,0.0896049541296886,0.141116534247237,0.000253233928901801,8.67334388459637e-06,0.000324079749744879,0.0156747070548041,0.00225435359850731,0.000669792414580172,0.00263876722528717,0.0143629355208832
"nig_cor",128,476,0.0156370360157378,0.000410884726591805,0.0113057020385782,-0.890040778760686,0.131527179792523,0.0288475572747025,0.0934290790258289,0.163231030286418,0.000223118640079323,7.81687848339987e-06,0.000245213427075154,0.0141132744810461,0.00305361838926762,0.00103582029643273,0.00334406525846086,0.016697847020737
"nig_cor",129,337,0.0124845405482571,0.000253029923070019,0.00878009678592957,-1.01398154436317,0.131796796343544,0.0317716788285445,0.0954875176834004,0.16773118767185,0.000263336601990737,7.48085778660757e-06,0.000289697266033524,0.0185878553457189,0.00299558644917359,0.000960013217351231,0.00364512362517122,0.0217374498403496
"nig_cor",130,330,0.00934234865287595,0.000167846335338084,0.00694258389285209,-1.1370436770285,0.0961900946641649,0.0143400942405952,0.0675135402071247,-0.00232049541008621,0.000205638757224345,5.3491329658844e-06,0.00026665659926586,0.0185851888788261,0.00198705255299821,0.000458853649469758,0.00221669548470636,0.0162867355301296
"nig_cor",131,282,0.00979941656876041,0.000161542400781854,0.00697406551687421,-1.1343127408016,0.106580712768234,0.0202686468530263,0.0766824352228805,0.0638958933512423,0.000199316347996225,4.60182344637963e-06,0.000236777958908315,0.0170253467688259,0.00147607382503367,0.000346777638129551,0.00179313418045847,0.0148252894607732
"nig_cor",132,353,0.0087092134876161,0.000136832432090881,0.00638176702307934,-1.17024225300301,0.111447777484429,0.0237796146585814,0.0822308495672516,0.107097121964115,0.000117667067248123,2.18934786441244e-06,0.000155582830829933,0.0170549674648575,0.00290232761791602,0.000710345052756811,0.00294954723346555,0.0163996504420932
"nig_cor",133,631,0.00796690663480389,0.000109264907863352,0.00561036186862215,-1.2406117398501,0.106530054501296,0.0204372766512282,0.0769693968995442,0.0515337560345022,0.000183971048133119,3.58476341087636e-06,0.000181405647116575,0.0171714672566376,0.00207177653106999,0.000513537677973796,0.0021950324220608,0.0167315199195735
"nig_cor",134,326,0.00832045171632088,0.000120824413867991,0.00606984133935607,-1.18826878811496,0.115037216705844,0.0215997746306846,0.081640353634916,0.107191291332366,0.00013771027038472,2.40053047999807e-06,0.00012944745646864,0.0141313317166886,0.00269511761244557,0.000732682241589589,0.00355716646841199,0.0230466728333854
"nig_cor",135,278,0.00556003790109478,5.10605572058732e-05,0.00399894588560854,-1.40411837938678,0.0883867955538013,0.0133701974512043,0.0639866851661838,-0.02391324262803,0.000102521958433513,1.25102946317309e-06,0.000136046044544965,0.0178555044616169,0.00218258374203647,0.00042807294082957,0.00216126572302356,0.0149500491049834
