"presLevel","model","gridID","refit","n_points","Mu1","Mu2","Sigma1","Sigma2","Nu1","Nu2","Theta","Rho","Kappa1","Kappa2","sigma_e1","sigma_e2","rho_e","Time","TimeCV","cv_status","RB","n","conv"
1000,"gauss_indep",100,TRUE,392,NA,NA,0.0157432326503475,0.101419519304458,NA,NA,0,-0.55763201112201,1.42594101159818,1.61431736082605,0.00835599288797071,0.0439177366225856,0,1.13550366939494,0,"CV_done",TRUE,1440,TRUE
1000,"gauss_indep",101,TRUE,410,NA,NA,0.0129765265621616,0.0863335022477891,NA,NA,0,-0.0800036365462796,1.2912220174037,1.3718493112918,0.00822665226247603,0.0441317503823162,0,1.5522135050374,0,"CV_done",TRUE,1668,FALSE
1000,"gauss_indep",102,TRUE,442,NA,NA,0.0122582157423731,0.08604561684469,NA,NA,0,0.070566383417086,1.3437986363591,1.41379146962909,0.0071904213311291,0.039569294053806,0,1.7832919732702,0,"CV_done",TRUE,1478,FALSE
1000,"gauss_indep",103,TRUE,408,NA,NA,0.0120183655833065,0.0940829238793296,NA,NA,0,0.166458375055472,1.39930129812449,1.35486459675503,0.00616797251663775,0.0378485722267541,0,1.40177674057031,0,"CV_done",TRUE,1413,FALSE
1000,"gauss_indep",104,TRUE,538,NA,NA,0.0111081172738012,0.0991923316122963,NA,NA,0,-0.175319504420893,1.42067304021212,1.43458625786236,0.00420419552797135,0.0419989191012204,0,8.03824073745145,0,"CV_done",TRUE,1444,TRUE
1000,"gauss_indep",105,TRUE,228,NA,NA,0.00911431997152032,0.11329790389833,NA,NA,0,-0.430330335540722,1.38061760278991,1.67218748572033,0.00352775577980005,0.0426079778450057,0,1.50301324169669,0,"CV_done",TRUE,803,FALSE
1000,"gauss_indep",107,TRUE,310,NA,NA,0.0144402685060706,0.304271919740152,NA,NA,0,-1.66297173246279,1.50807524707207,1.20320432073078,0.00381035920779229,0.0978268656786476,0,21.5164436780744,0,"CV_done",TRUE,596,FALSE
1000,"gauss_indep",108,TRUE,360,NA,NA,0.0445441580997779,0.792735158936884,NA,NA,0,1.65667035909228,1.51621313738947,1.42511400975806,0.00917944492125227,0.165245358891281,0,1.25859847732716,0,"CV_done",TRUE,1297,FALSE
1000,"gauss_indep",109,TRUE,610,NA,NA,0.0513504447994342,0.845820488166212,NA,NA,0,1.84020103509999,1.28336858813047,1.24884288952737,0.0114408174741664,0.185978065794741,0,8.54122444106473,0,"CV_done",TRUE,2069,TRUE
1000,"gauss_indep",110,TRUE,540,NA,NA,0.0570138047501333,0.804947385121222,NA,NA,0,1.72145556696988,1.02933851788995,1.4466713235672,0.0127740745762876,0.147277732080001,0,1.41193483088579,0,"CV_done",TRUE,1828,FALSE
1000,"gauss_indep",111,TRUE,373,NA,NA,0.0639569750888234,0.618318464086929,NA,NA,0,1.49323802511633,1.44329049316075,1.28341932054687,0.0125794964131696,0.112951026738364,0,3.43049075729317,0,"CV_done",TRUE,1604,TRUE
1000,"gauss_indep",112,TRUE,421,NA,NA,0.0990946360933404,0.528767062584907,NA,NA,0,2.68058791001316,2.75084731423632,1.89642451312525,0.0160499126190113,0.0995743416942772,0,4.95535335699717,0,"CV_done",TRUE,1679,TRUE
1000,"gauss_indep",114,TRUE,182,NA,NA,0.404960500158569,3.22861548724374,NA,NA,0,8.44853734006839,11.7045230846576,28.7018802385135,0.0303213843441679,0.128731162279528,0,1.31888370106066,0,"CV_done",TRUE,811,FALSE
1000,"gauss_indep",120,TRUE,836,NA,NA,0.0613132011158377,0.346058364763527,NA,NA,0,3.48690400034375,2.210021904381,2.47616456427197,0.0253289708301283,0.129830784230816,0,5.97529290848308,0,"CV_done",TRUE,2152,TRUE
1000,"gauss_indep",121,TRUE,713,NA,NA,0.0437740315608738,0.254105532970495,NA,NA,0,2.32987261563451,2.12223383020972,1.98015989203314,0.0198360747073027,0.106611306888389,0,1.22380562265714,0,"CV_done",TRUE,1869,TRUE
1000,"gauss_indep",123,TRUE,340,NA,NA,0.0108369206224754,0.172852152736992,NA,NA,0,1.21465830895706,1.7723298199386,1.66469278885471,0.00324750215239386,0.0726247303847837,0,1.2732615741977,0,"CV_done",TRUE,983,FALSE
1000,"gauss_indep",125,TRUE,290,NA,NA,0.0156295061339897,0.196108826367309,NA,NA,0,-0.798132951434393,1.47674454655619,1.63188457355542,0.00707032333864006,0.107713728063941,0,1.26422293219577,0,"CV_done",TRUE,750,FALSE
1000,"gauss_indep",126,TRUE,858,NA,NA,0.0221708835481567,0.244417718185217,NA,NA,0,-0.659497610275386,1.45850764205442,1.23093587019354,0.0105408202750677,0.100990474587041,0,4.47387744492955,0,"CV_done",TRUE,2395,TRUE
1000,"gauss_indep",127,TRUE,949,NA,NA,0.0232815366976667,0.22165317711835,NA,NA,0,-0.653108707059248,1.34035446439351,1.3115524492115,0.0112685033002491,0.0918734994690336,0,6.68248160825835,0,"CV_done",TRUE,3079,TRUE
1000,"gauss_indep",128,TRUE,476,NA,NA,0.0207507568433826,0.182077033107266,NA,NA,0,-0.698476315708965,1.65275960640179,1.56611287372673,0.0101061409948364,0.0830625467087193,0,1.5395498696963,0,"CV_done",TRUE,2188,TRUE
1000,"gauss_indep",129,TRUE,337,NA,NA,0.0223205759874155,0.155781047897431,NA,NA,0,0.12092775336355,0.0581137341024242,1.34620441233433,0.0129941879427631,0.0755264646170115,0,1.27346502784778,0,"CV_done",TRUE,1519,FALSE
1000,"gauss_indep",130,TRUE,330,NA,NA,0.0132274603908978,0.138378923596298,NA,NA,0,-0.347652274736177,1.55476106782967,1.07853476284995,0.00780664815476609,0.0577014834888502,0,1.35021710236315,0,"CV_done",TRUE,1265,FALSE
1000,"gauss_indep",131,TRUE,282,NA,NA,0.0122299439889537,0.123439820216285,NA,NA,0,-0.220811697254208,1.47704482005878,1.32924646354076,0.00705501441073776,0.0563434344691187,0,1.20626341748293,0,"CV_done",TRUE,1225,FALSE
1000,"gauss_indep",132,TRUE,353,NA,NA,0.0105566640733524,0.135123040971772,NA,NA,0,-0.34079447291587,1.02744510176427,0.972568404725966,0.00642895025387376,0.062944026883549,0,1.27822546393507,0,"CV_done",TRUE,1342,FALSE
1000,"gauss_indep",133,TRUE,631,NA,NA,0.0109529543690143,0.138391417349779,NA,NA,0,-0.156040986591701,1.184496339947,1.08413797954172,0.00615257749334234,0.0613736721972522,0,1.27519473784776,0,"CV_done",TRUE,1706,FALSE
1000,"gauss_indep",134,TRUE,326,NA,NA,0.00974456377180465,0.131488248512216,NA,NA,0,-0.297446979141303,1.29960264506551,1.08203915776208,0.00577008142154962,0.0615218636127141,0,1.26940140414017,0,"CV_done",TRUE,1501,FALSE
1000,"gauss_indep",135,TRUE,278,NA,NA,0.0076540627622238,0.122087775964338,NA,NA,0,-0.288728196738753,1.08909675723523,1.34548461255381,0.00397840633377641,0.0472606771766658,0,1.26989308481967,0,"CV_done",TRUE,1088,FALSE
1000,"gauss_indep",136,TRUE,250,NA,NA,0.0081707420215854,0.104296426608092,NA,NA,0,-0.283566511379978,1.2276540940038,1.35445971200766,0.00304225551225002,0.0420688637897253,0,1.33701347683039,0,"CV_done",TRUE,1185,FALSE
1000,"gauss_indep",137,TRUE,241,NA,NA,0.00765800011077609,0.114630277587427,NA,NA,0,-0.330527251289353,1.38767618838972,1.5978069085698,0.00275524331358084,0.0462649652376147,0,15.659068071776,0,"CV_done",TRUE,1109,TRUE
1000,"gauss_indep",138,TRUE,151,NA,NA,0.00899472057139353,0.146653779881802,NA,NA,0,-0.608358617978582,0.912073048463585,1.95151175413909,0.00221950180338034,0.0700579797055016,0,1.34228897608817,0,"CV_done",TRUE,682,FALSE
1000,"gauss_indep",139,TRUE,209,NA,NA,0.0145332019986655,0.262821603800375,NA,NA,0,-1.59906029438535,1.22618075081511,1.17926446473707,0.00338200397904196,0.0921738448326396,0,1.27028392595273,0,"CV_done",TRUE,758,FALSE
1000,"gauss_indep",140,TRUE,163,NA,NA,0.0261336265838808,0.459773402268503,NA,NA,0,0.449934180089454,1.54440798723496,1.41792617537059,0.00644482723501821,0.138253278405232,0,15.0656867545181,0,"CV_done",TRUE,915,TRUE
1000,"gauss_indep",141,TRUE,243,NA,NA,0.0320240907620847,0.441290911406652,NA,NA,0,0.534101420103744,1.32128168313294,1.34801848839997,0.009968814056459,0.145834348495979,0,23.0667567229271,0,"CV_done",TRUE,1089,TRUE
1000,"gauss_indep",142,TRUE,325,NA,NA,0.0371004731588472,0.281143306071555,NA,NA,0,0.493449719243828,1.48814967604249,1.12673350910769,0.0126522050430496,0.0952057732907614,0,3.00557904601097,0,"CV_done",TRUE,1378,TRUE
1000,"gauss_indep",143,TRUE,415,NA,NA,0.0361611090748655,0.199820517444988,NA,NA,0,0.807763225636331,1.48941305018963,1.30073158523858,0.013008253022197,0.0838833387224761,0,1.0357725458675,0,"CV_done",TRUE,1565,TRUE
1000,"gauss_indep",144,TRUE,477,NA,NA,0.0360356662080189,0.180026688595044,NA,NA,0,1.28618908951412,1.37180736858442,1.77137869802906,0.0102127646114469,0.0798617003720814,0,2.2603723547856,0,"CV_done",TRUE,1549,TRUE
1000,"gauss_indep",145,TRUE,520,NA,NA,0.0432660008027594,0.200380791076481,NA,NA,0,1.81378786165116,1.76655058796915,1.95947312404248,0.0127248232913474,0.0772937598012199,0,47.9443635821342,0,"CV_done",TRUE,1944,TRUE
1000,"gauss_indep",146,TRUE,327,NA,NA,0.0520605471177894,0.235393749089744,NA,NA,0,2.12346505149941,2.65542871220539,2.33343731139428,0.0148352123200433,0.0827053832104021,0,7.96183930973212,0,"CV_done",TRUE,1321,TRUE
1000,"gauss_indep",152,TRUE,153,NA,NA,0.157763254126051,0.668138748843351,NA,NA,0,6.72358849136642,4.73329029825787,3.35890482409491,0.0424380747576957,0.210427812485916,0,1.36161455346478,0,"CV_done",TRUE,584,TRUE
1000,"gauss_indep",153,TRUE,452,NA,NA,0.0725606185944588,0.393737484194321,NA,NA,0,8.07318344598381,2.1601430567746,2.20834439896903,0.0293391571958352,0.158809771923511,0,4.76252133667469,0,"CV_done",TRUE,1640,TRUE
1000,"gauss_indep",154,TRUE,592,NA,NA,0.0473964468784509,0.27169751480144,NA,NA,0,3.24065113835332,2.29178920253844,2.60411904150848,0.0122560482293023,0.0973970012435999,0,1.60244281715817,0,"CV_done",TRUE,1835,TRUE
1000,"gauss_indep",155,TRUE,130,NA,NA,0.0290606656790777,0.192410290195824,NA,NA,0,1.63014040653477,1.48330622941869,1.94709792866189,0.00995652892719047,0.0957819360063269,0,6.32278992394606,0,"CV_done",TRUE,1478,TRUE
1000,"gauss_indep",156,TRUE,842,NA,NA,0.0116915411825445,0.190070142152399,NA,NA,0,1.71767637158785,1.74583171478835,1.5766839537116,0.00408190715787003,0.0811042520314133,0,21.6916700163152,0,"CV_done",TRUE,1847,TRUE
1000,"gauss_indep",159,TRUE,191,NA,NA,0.0134264410031987,0.217628634737443,NA,NA,0,-0.589434521702391,1.54184170895765,1.24356029770206,0.00707782717840262,0.0940708904361252,0,1.22628910013095,0,"CV_done",TRUE,1011,FALSE
1000,"gauss_indep",160,TRUE,481,NA,NA,0.0115670976635418,0.189130248296694,NA,NA,0,-0.418931145687934,1.77630799803328,1.22942297723727,0.00713593597619589,0.0963121846985333,0,1.23684091969497,0,"CV_done",TRUE,1600,FALSE
1000,"gauss_indep",161,TRUE,416,NA,NA,0.00932403527397858,0.1546218780989,NA,NA,0,-0.238193866872759,1.84225396227907,1.27820727081011,0.00574979681003805,0.0923364521419339,0,6.59692668577035,0,"CV_done",TRUE,1718,TRUE
1000,"gauss_indep",162,TRUE,313,NA,NA,0.00814949029850953,0.125418433925971,NA,NA,0,-0.296964825564415,1.53204812051796,1.11329506656811,0.00518370352982581,0.090103333161539,0,1.24169909520006,0,"CV_done",TRUE,1328,FALSE
1000,"gauss_indep",163,TRUE,295,NA,NA,0.00740565505143347,0.124646115144559,NA,NA,0,-0.625490754684431,1.63497053402058,1.03103232461115,0.00313821249089887,0.077609552831482,0,1.20236894241638,0,"CV_done",TRUE,1375,FALSE
1000,"gauss_indep",164,TRUE,313,NA,NA,0.00556401888930562,0.127285601692951,NA,NA,0,-0.667134521924983,1.20861048456237,1.16681270025521,0.00269371661257805,0.0679017825132351,0,1.24071687405032,0,"CV_done",TRUE,1410,FALSE
1000,"gauss_indep",165,TRUE,435,NA,NA,0.00561444218762091,0.116863029766669,NA,NA,0,-0.775177216685229,1.19455277079917,1.07609023946844,0.00260700720048507,0.0711245771523417,0,1.24536450818733,0,"CV_done",TRUE,1468,FALSE
