"model","gridID","n_points","cv_Psal_MAE","cv_Psal_MSE","cv_Psal_CRPS","cv_Psal_SCRPS","cv_Temp_MAE","cv_Temp_MSE","cv_Temp_CRPS","cv_Temp_SCRPS","cv_Psal_MAE_sd","cv_Psal_MSE_sd","cv_Psal_CRPS_sd","cv_Psal_SCRPS_sd","cv_Temp_MAE_sd","cv_Temp_MSE_sd","cv_Temp_CRPS_sd","cv_Temp_SCRPS_sd"
"gauss_cor",172,414,0.183120599360546,0.0587754756000188,0.133959129927362,0.337103364078471,0.237135701388656,0.0973756286698758,0.188003201850013,0.569643406886697,0.00329661411641053,0.00131271483452594,0.00413919341467128,0.0165058297912046,0.00660868051541298,0.00312207027735495,0.0084435403871537,0.0124760810750732
"gauss_cor",173,391,0.203112775809648,0.0700820458518131,0.150851659761041,0.408577963245295,0.377048588625018,0.283854924401223,0.309912250503371,0.784637116547583,0.00437914685518041,0.00176562006180915,0.00522095419877428,0.0150331261448733,0.00894450595511932,0.00741707843177027,0.0106979390580626,0.0118331637962643
"gauss_cor",174,154,0.480752211683056,0.484545434292056,0.369057008133159,0.854159928068,0.773138943724553,1.65939380838142,0.614172980328424,1.10424218369356,0.00735069490956204,0.0070548698828406,0.00891794633406911,0.0155852750345715,0.0108113980544475,0.018219917486095,0.014743182484293,0.0158517487748355
"gauss_cor",175,141,0.379662373595058,0.474257992179993,0.316901691275014,0.751502075967995,0.421298927399066,0.627773761548571,0.365082195550717,0.866167925661067,0.00675072499574089,0.0060022105203226,0.0093396211749627,0.0158433035904316,0.0106854248944828,0.0110360888293954,0.0137270644134072,0.0125800920886418
"gauss_cor",177,202,0.300725811155243,0.196383403341891,0.224778379157854,0.604356905164449,0.17631815464567,0.0544120694823974,0.12830025586393,0.326374914897003,0.00483311672198005,0.00276018328843501,0.00569480811324944,0.0182882956010493,0.00227612879901201,0.000774570832725379,0.00359950758818112,0.0126680717130002
"gauss_cor",178,278,0.200107281906351,0.0759869191503958,0.146913798556016,0.388531838562383,0.210741684772461,0.0769478545226382,0.154179188339446,0.404523771028619,0.00409620357780421,0.00172209298537584,0.00485441888130623,0.0175436055460155,0.00342902057978074,0.00161722013935251,0.00470099945241499,0.0158926855283022
"gauss_cor",179,284,0.15298125423527,0.0403165621497586,0.11099713357415,0.248958367577045,0.283331822041993,0.135153983856905,0.206780750636151,0.556704252983229,0.00289827359940683,0.000997003740454956,0.00340061717144121,0.0182510298117906,0.0035797778719933,0.00212148294675108,0.0057963235915419,0.0146585523440934
"gauss_cor",18,976,0.0324405033623929,0.00442891048355749,0.0295850064056187,-0.398367620158677,0.388352012554348,0.273806714376087,0.285099184275295,0.714103001229942,0.000977280830744802,8.52970320446409e-05,0.00116364621798542,0.0146169454379408,0.00798397970689569,0.00654871775329264,0.00963830861996176,0.0172685329274835
"gauss_cor",180,627,0.130546295437722,0.0309265384774053,0.0981722059015045,0.186716778328398,0.376451887059991,0.24428755742073,0.268623297819241,0.69107225872351,0.00235824738769744,0.000621146374596168,0.00304616497012041,0.0152906516603911,0.00490978712023998,0.00364920021178898,0.0063408562204323,0.0118491955505713
"gauss_cor",181,204,0.226866785820397,0.0957634888135245,0.167708601143095,0.468141824734735,0.534708871563125,0.550010968334154,0.404694319068777,0.910457740104236,0.00279961455629091,0.00129084156255102,0.00396512471320586,0.0186731645741425,0.00761046730407945,0.00721641525122191,0.00919877286450283,0.0179928710690258
"gauss_cor",187,128,0.070604384190526,0.0112603664897797,0.0574728068012281,-0.073532766393765,0.509150963949927,0.510654644338066,0.369037314904086,0.832102479144235,0.00169889567663788,0.000266262037900955,0.00224109196782912,0.0151261083968628,0.00902909435122257,0.00981424430188925,0.011476933366637,0.0206749499431747
"gauss_cor",188,260,0.0675451025394878,0.00858203177196825,0.0593424754743825,-0.0148039716898221,0.389989628053052,0.27678885770916,0.289663125517097,0.727795410929359,0.00215734333290503,0.000312331385646577,0.0025035224862649,0.0127092381496687,0.0068828676066408,0.0053723137087474,0.0087815804931668,0.0173480769966907
"gauss_cor",189,346,0.151562921319778,0.0432567791153237,0.122919817388195,0.309091822957679,0.263928603148289,0.119529350232328,0.187663052946998,0.516209398487799,0.00327293069509358,0.00104629956409969,0.00419744722877056,0.0131109398175281,0.00466132582924178,0.00242455341879089,0.00553775271427771,0.0134092117072722
"gauss_cor",190,452,0.200756246242193,0.0856596644798214,0.155707779566295,0.414105493633397,0.199289205923406,0.0766558477192544,0.153890665657165,0.407668194863287,0.00386244614661293,0.00155437270206754,0.0044116392815846,0.013244870702519,0.00330805491212109,0.00145029296696406,0.00407488863675724,0.0127637333155551
"gauss_cor",191,616,0.218177009023778,0.0825270154746775,0.160321069296075,0.435126097585732,0.174840612822209,0.0499034514176793,0.11986594565959,0.296333899671306,0.00340402084157234,0.00144995264831883,0.00436890769136537,0.0128363872261348,0.00270972652741318,0.00102023301779651,0.00374390033584164,0.0123853553601055
"gauss_cor",192,351,0.259910393737156,0.109543329661641,0.189928055163469,0.517567871017793,0.20353090794136,0.0679242285920675,0.142583405407536,0.373497708790943,0.0036604359359904,0.00205140757621474,0.00509565583403635,0.0155428363386979,0.00321415808548241,0.00135302930231351,0.00409674697065293,0.0142603300209438
"gauss_cor",196,182,0.104406253576411,0.0204293451860938,0.0794271292693453,0.073159611133071,0.274663195793146,0.125636704155047,0.197124648796155,0.54734611561141,0.00198313165121953,0.000411366946449756,0.00234871880770783,0.0180892187280684,0.00397232209549564,0.00230017602529546,0.00500126947700498,0.017633668678528
"gauss_cor",197,273,0.117161899710008,0.028962600365918,0.0882034920352733,0.125968122036064,0.213109283707363,0.0803962093107777,0.15545130074828,0.414651171073855,0.002496626522842,0.000656548041204652,0.00285047441428875,0.0176744843480941,0.00311679387665646,0.00135469685076768,0.00402375910559676,0.0146761849832707
"gauss_cor",198,400,0.135369197979639,0.0332549539851033,0.102533090206611,0.203825526414674,0.173328141782364,0.0525046240222688,0.121094423033122,0.29513629444875,0.00240453527956022,0.000692904261490513,0.00308362041615947,0.0169892738231269,0.0028107979074553,0.00111067982719525,0.00350709032420862,0.0131623972994256
