"model","gridID","n_points","refit","Mu1","Mu2","Sigma1","Sigma2","Nu1","Nu2","Theta","Rho","Kappa1","Kappa2","sigma_e1","sigma_e2","rho_e","Time","TimeCV","cv_status","RB","n","conv"
"nig_cor",100,428,FALSE,-0.313265920500704,0.515470600160602,0.143950184178976,1.41737635420352,0.553846571791011,0.788688506791556,0,0.694586424627113,0.434623858342391,0.112356411712012,0.0656620872136984,0.59575387500343,0.427490446017929,3.15765469681334,49.24,"CV_done",TRUE,1271,FALSE
"nig_cor",101,423,FALSE,-0.178581162847922,0.250307779742065,0.171960779560489,1.43425604867491,0.55715603512922,0.992288050804268,0,0.476255044327966,0.386479555407231,0.111197415455016,0.0691146897778297,0.477039103661934,0.319977145763605,3.06835680446415,49.24,"CV_done",TRUE,1282,FALSE
"nig_cor",102,457,FALSE,-0.120407855167233,-0.0526282488859616,0.201720424696738,1.35451724831403,0.484041187642592,0.977676736870073,0,0.412879053499376,0.452907064331314,0.118288092019407,0.0877207221304234,0.426071576328348,0.366858305092977,3.04620505459331,49.24,"CV_done",TRUE,1276,FALSE
"nig_cor",103,426,FALSE,-0.129069279748617,-0.307585585297402,0.214616410864318,1.1579201037441,0.777612632843414,0.880969728434798,0,0.653668289388099,0.521089731474438,0.117982752684483,0.109154507781549,0.438927349852752,0.446618872317122,3.15439621090889,49.24,"CV_done",TRUE,1279,FALSE
"nig_cor",104,565,FALSE,-0.0466404193251487,-0.0660242691734035,0.220004034640814,1.25142270642851,0.626079066563899,0.88740595079285,0,0.641466858116832,0.720915151090426,0.131061533060983,0.0891543394993252,0.413028540892011,0.583288523007994,3.81902935326099,49.24,"CV_done",TRUE,1275,FALSE
"nig_cor",105,239,FALSE,0.0920289931640402,-0.159692004567813,0.204320929985516,1.78345175945268,0.873920703952567,0.667693429053417,0,0.426375576864302,0.63933110186459,0.32979704316688,0.0728620440693606,0.371456320854151,0.527013972650756,3.00074781391908,49.24,"CV_done",TRUE,1264,FALSE
"nig_cor",107,367,FALSE,-0.403639115846384,0.141309038284052,0.316368720390214,2.34728015638998,0.228868969552699,1.14641061100026,0,-0.205237497402243,1.68104917979612,0.302385560748046,0.12825738504219,0.542769202814557,0.0225235138798718,2.97458344513343,49.24,"CV_done",TRUE,1280,FALSE
"nig_cor",108,404,FALSE,-0.0483095072221821,0.283447495893606,0.328764419299972,2.85162872248716,0.038303289877595,0.478446978584403,0,0.412956983339946,0.589892932047804,0.427387827520648,0.115804116440147,0.63505084791224,0.145205354912883,1.87543363341303,49.24,"CV_done",TRUE,1276,TRUE
"nig_cor",109,643,FALSE,-0.0157250741333568,0.221048005764854,0.381686462625311,2.66120048151315,0.0127391333050488,0.210552496694768,0,0.67002392175253,0.522074514952399,0.375794844910467,0.0978237370312004,0.633483306248687,0.190624821718622,2.14674877220282,49.24,"CV_done",TRUE,1285,TRUE
"nig_cor",110,555,FALSE,-0.00335441299034908,0.234545114476871,0.366532717208433,2.14599273656342,0.0124770094799892,0.16163843434636,0,1.18774297619398,0.32590092222196,0.241757174654335,0.0876039923181772,0.486958144532171,0.131914394221038,3.04473070466408,49.24,"CV_done",TRUE,1277,FALSE
"nig_cor",111,342,FALSE,-0.000723482002534724,0.0767141619009251,0.200047341960827,1.63806723385237,0.0537610376683592,0.448052983498999,0,1.45336752334197,0.411855960573621,0.135637003492951,0.087919051551553,0.496359314856512,0.477194894958043,2.97179016298166,49.24,"CV_done",TRUE,1276,FALSE
"nig_cor",112,358,FALSE,0.0145511412227345,-0.28389839133937,0.130090833373376,0.991105008364767,0.935001340044447,0.639854542528728,0,1.18539661695658,0.81945369672336,0.105160787681113,0.0636364894862095,0.404705702693259,0.530006936848714,3.09365361064397,49.24,"CV_done",TRUE,1269,FALSE
"nig_cor",113,523,FALSE,-0.142335529396207,0.165798149059773,0.120278595834422,1.09446071518731,0.696112654921868,0.925860842983374,0,1.10853640781785,0.704328071412018,0.106608704297392,0.0620550666434511,0.406005306130778,0.64848614189752,1.72924620186841,49.24,"CV_done",TRUE,1272,TRUE
"nig_cor",114,163,FALSE,0.123443746494859,-0.61017079700823,0.123578294195245,1.21807575970157,0.573363462772856,0.607052701180632,0,0.818233542098572,0.597606919359016,0.100259911222076,0.109944798114175,0.418600453409121,0.116829102711375,2.8927256355683,49.24,"CV_done",TRUE,1291,TRUE
"nig_cor",120,878,FALSE,-0.0925666173747961,-0.0153480811880305,0.188998435197193,1.52904263334169,0.79462388380066,0.897389741842208,0,0.152217335735116,0.557962509022368,0.127138268886408,0.0979541188915038,0.350223047973369,0.0770608975986509,3.18050514977563,49.24,"CV_done",TRUE,1255,FALSE
"nig_cor",121,772,FALSE,-0.0821824141865622,-0.028955737923114,0.262202754968774,1.40793801464564,0.181344184857078,0.907491612467875,0,0.0622796463525188,0.932522347466273,0.138315530769604,0.10948066628994,0.342502095854782,0.0906321622657835,3.32957309043794,49.24,"CV_done",TRUE,1251,FALSE
"nig_cor",123,360,FALSE,-0.908943408791158,-0.195544031325357,0.613769076457708,1.19149564901111,0.908917108493251,0.795201664428454,0,0.437128089094729,1.83597223180693,0.151539054040549,0.473737804171173,0.428373909750023,0.421744256909661,3.12969238012753,49.24,"CV_done",TRUE,1256,FALSE
"nig_cor",125,442,FALSE,-0.258646711069903,0.336504635846015,0.334581122789968,1.79948485994452,0.829746456958695,0.914356731701733,0,-0.4938132683893,1.08973177540478,0.300457567644175,0.10526917090677,0.380565966108099,-0.580385359902093,1.00763604956093,49.24,"CV_done",TRUE,1250,TRUE
"nig_cor",126,898,FALSE,-0.118556937816854,-0.039363327628104,0.268768177728344,1.5720618796002,0.072681237805764,0.729148135154517,0,-0.45018908549058,0.690161578718948,0.271705082435877,0.0838490197299273,0.48866969273149,-0.419610818727706,3.05027760943329,49.24,"CV_done",TRUE,1252,FALSE
"nig_cor",127,971,FALSE,-0.169560496487431,-0.247295005941962,0.156426982340815,1.26151117977605,0.266355556286979,0.742805565879276,0,-0.221473760981817,0.373024842325438,0.198841166269391,0.0688906997466644,0.528830358874539,-0.319105539238726,3.08241091763808,49.24,"CV_done",TRUE,1252,FALSE
"nig_cor",128,478,FALSE,-0.153945929768725,-0.138610474055668,0.153894920824555,1.28630516448197,0.577037067163255,0.660100686253186,0,-0.141132279064981,0.454342210723092,0.229007267794296,0.0718930096855378,0.503361883909195,-0.0793543097078976,3.04790673481645,49.24,"CV_done",TRUE,1253,FALSE
"nig_cor",129,321,FALSE,0.0984905036579799,-0.23937860466859,0.166714229875696,1.03077142015539,0.799172450981611,0.624984658949382,0,0.053728671064328,0.435541467206503,0.152772524263141,0.0827630117961119,0.566251148030867,0.0225882003485154,2.69601541278539,49.24,"CV_done",TRUE,1251,TRUE
